date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
2019-08-10,0.7268677,0.5158148,0.4592336,2.7792373,0.54475796,-0.516511,0.28084102,0.5502653
2019-08-11,0.7293792,0.51512516,0.45903438,2.8081133,0.5472254,-0.51942587,0.2817147,0.5514446
2019-08-12,0.7334176,0.5142946,0.4590587,2.8469536,0.5506096,-0.52381194,0.28268677,0.55323637
2019-08-13,0.73863876,0.5133347,0.45924467,2.8933494,0.55469006,-0.52929604,0.28373474,0.5554953
2019-08-14,0.7446984,0.5122567,0.45953044,2.9448912,0.5592462,-0.5355052,0.28483614,0.5580761
2019-08-15,0.75125235,0.51107216,0.45985416,2.99917,0.5640574,-0.5420662,0.28596842,0.5608334
2019-08-16,0.7579564,0.50979245,0.46015397,3.0537765,0.5689032,-0.54860616,0.28710917,0.563622
2019-08-17,0.76446635,0.5084291,0.46036795,3.1063018,0.57356304,-0.55475193,0.2882358,0.56629646
2019-08-18,0.77043796,0.50699353,0.4604343,3.1543362,0.57781625,-0.56013036,0.28932592,0.56871164
2019-08-19,0.775527,0.50549716,0.46029112,3.1954708,0.5814424,-0.5643684,0.29035696,0.5707221
2019-08-20,0.7793893,0.5039515,0.45987654,3.2272964,0.5842209,-0.5670931,0.29130644,0.5721826
2019-08-21,0.7816807,0.5023679,0.4591287,3.2474039,0.5859311,-0.56793123,0.2921519,0.5729478
2019-08-22,0.7820569,0.5007579,0.45798576,3.253384,0.5863526,-0.5665098,0.2928708,0.57287246
2019-08-23,0.7801738,0.49913287,0.45638582,3.2428277,0.58526474,-0.56245565,0.29344067,0.5718112
2019-08-24,0.7623907,0.494828,0.45071176,2.9774745,0.56629604,-0.5480347,0.27441064,0.56623
2019-08-25,0.7413348,0.49023634,0.44312286,2.7239113,0.54677594,-0.52981037,0.2515966,0.56019056
2019-08-26,0.7322824,0.48891443,0.43796423,2.7279272,0.5440251,-0.5171596,0.24885926,0.55835575
2019-08-27,0.7246238,0.48919833,0.4338439,2.7320745,0.5418414,-0.5056002,0.2532293,0.5576388
2019-08-28,0.71858776,0.4908558,0.4307591,2.736359,0.5402711,-0.49541682,0.2623393,0.5576633
2019-08-29,0.71440274,0.49365473,0.42870694,2.7407856,0.5393606,-0.486894,0.27382195,0.5580527
2019-08-30,0.71229744,0.49736282,0.42768458,2.7453601,0.53915626,-0.48031634,0.28530982,0.55843055
2019-08-31,0.7125004,0.5017479,0.42768922,2.750088,0.5397045,-0.47596845,0.29443562,0.5584204
2019-09-01,0.7152403,0.50657773,0.42871797,2.7549746,0.5410516,-0.47413486,0.2988319,0.55764574
2019-09-02,0.7207457,0.5116201,0.430768,2.7600253,0.543244,-0.4751002,0.29613137,0.5557301
2019-09-03,0.73616624,0.52264494,0.45750323,2.7651668,0.5466443,-0.5057209,0.27982187,0.55032444
2019-09-04,0.74897635,0.53118527,0.48282552,2.7702985,0.54936045,-0.53678876,0.26733235,0.54598093
